Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
An Evaluation of Self-Care and Caregiving Training Curriculum Content for Chinese Immigrant Caregivers: A Participatory Design Approach,"Wang, Ying; Liu, Mandong; Chi, Iris ","Immigrant caregivers face unique difficulties in self-care and caregiving practices in the United States. Our aim was to conduct an evaluation of the content of a training curriculum app designed for Chinese immigrant caregivers based on the Body-Mind-Spirit model. An app prototype was developed, and a sample content was examined by prospective users accessing it on their smartphones. Using a participatory design approach, 22 in-depth interviews were conducted with Chinese immigrant caregivers in Los Angeles in 2019, and feedback for spirituality content was sought from an independent expert. Caregivers provided feedback for three self-care categories-body, mind, and community resources-and two caregiving content categories-knowledge and skills, and community resources. From this feedback, five areas for designing training curriculum content emerged: caregiving stress, lifestyle and health behavior change, access to community resources, death education and end-of-life care, and spiritual care.Copyright © The Author(s) 2021.",2021,/,Journal of Applied Gerontology,40,12,1818-1827,,http://dx.doi.org/10.1177/0733464820987920,2010284703,#6,Wang 2021,Exclusion reason: Wrong patient population; Crystal Chan (2022-02-19 00:19:21)(Included): Unpaid caregiver and no mental health outcome; ,""
"Refugees at work: The preventative role of psychosocial safety climate against workplace harassment, discrimination and psychological distress","Afsharian, Ali; Dollard, Maureen; Miller, Emily; Puvimanasinghe, Teresa; Esterman, Adrian; De Anstiss, Helena; Ziaian, Tahereh ","It is widely recognised that employment is vital in assisting young refugees' integration into a new society. Drawing on psychosocial safety climate (PSC) theory, this research investigated the effect of organisational climate on young refugee workers' mental health (psychological dis-tress) through stressful social relational aspects of work (e.g., harassment, discrimination). Drawing on data from 635 young refugees aged between 15 and 26 in South Australia, 116 refugees with paid work were compared with 519 refugee students without work, and a sample of young workers from Australian Workplace Barometer (AWB) data (n = 290). The results indicated that refugees with paid work had significantly lower psychological distress compared with refugees with no paid work, but more distress than other young Australian workers. With respect to workplace harassment and abuse, young refugee workers reported significantly more harassment due to their ongoing interaction and engagement with mainstream Australian workers compared with unemployed refugees. Harassment played a vital role in affecting psychological health in refugees (particularly) and other young workers. While refugee youth experienced harassment at work, overall, their experiences suggest that their younger age upon arrival enabled them to seek and find positive employment outcomes. Although PSC did not differ significantly between the employed groups, we found that it likely negatively influenced psychological distress through the mediating effects of harassment and abuse. Hence, fostering pathways to successful employment and creating safe work based on high PSC and less harassment are strongly recommended to improve refugees' mental health and adaptation.Copyright © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,/,International Journal of Environmental Research and Public Health,18,20,696,,http://dx.doi.org/10.3390/ijerph182010696,2014070281,#7,Afsharian 2021,Exclusion reason: Wrong intervention; ,""
Family Empowerment (FAME): A feasibility trial of preventive multifamily groups for asylum seeker families in the Netherlands,"van Es, Carlijn M.; Boelen, Paul A.; Mooren, Trudy; Zwaanswijk, Marieke; Te Brake, Hans ","This study evaluated the feasibility of Family Empowerment (FAME), a preventive multifamily program for asylum seeker families in the Netherlands. FAME aims to reinforce the parent-child relationship, family functioning, and social support. We used an uncontrolled pre-test-post-test design, embedded in a mixed-methods approach. FAME was offered to 46 asylum seeker families, mostly originating from Eritrea, Armenia, or Syria. Twenty-seven parents gave consent to participate in this study. Program integrity and evaluations of participating parents and trainers were assessed. Family functioning and parental symptoms of depression and anxiety were measured pre- and post-FAME. Six participants completed all assessments. Most participants valued gathering with multiple families. Although FAME might coincide with decreases in anxiety and depression, the program had a limited impact on family functioning. Possibly, the aims of FAME did not align with some families' current needs. Lessons learned and recommendations to further improve interventions for refugee families are discussed.Copyright © 2021 The Authors. Journal of Marital and Family Therapy published by Wiley Periodicals LLC on behalf of American Association for Marriage and Family Therapy.",2021,/,Journal of marital and family therapy,47,4,864-881,,http://dx.doi.org/10.1111/jmft.12539,635667233,#9,vanEs 2021,Exclusion reason: Wrong patient population; ,""
Health Disparities Among Immigrant and Non-immigrant Elders: The Association of Acculturation and Education,"Lum, Terry Y.; Vanderaa, Julianne P. ","Guided by the theories of human capital and acculturation, this study investigated the association of immigrant status among older people with their physical and mental health outcomes, health services utilization, and health insurance coverage. Specifically, it examined the interactive effects of immigrant status, education, acculturation, race, and ethnicity on these dependent variables. The study used a national representation sample of 7,345 older Americans from the first wave of the Asset and Health Dynamic of the Oldest Old study (AHEAD) survey. We used both logistic regression and ordered logit regression for our multivariate analyses. The findings are as follows: (1) immigrant status was negatively associated with level of depression, number of IADL difficulties, and on types of health insurance coverage. Immigrant status had a significant relationship only with the utilization of outpatient surgery, but not on other health services utilization. (2) There were significant interactive effects of race and ethnicity and immigrant status on these dependent variables. The findings support the existence of double jeopardy among those who are simultaneously an immigrant and a member of a racial and ethnic minority group in the United States. (3) Acculturation has strong associations with health insurance coverage and with number of difficulties with IADL. © 2009 Springer Science+Business Media, LLC.",2009,/,Journal of Immigrant and Minority Health,,"(Lum) School of Social Work, University of Minnesota, 105 Peters Hall, 1404 Gortner Avenue, St. Paul, 55108, United States(Vanderaa) Mental Health Resources, Inc., 1821 University Avenue, Suite N-464, St. Paul, 55104, United States",1-11,,http://dx.doi.org/10.1007/s10903-008-9225-4,50420166,#11,Lum 2009,Exclusion reason: Wrong patient population; ,""
"Stress, depression and coping among latino migrant and seasonal farmworkers","Burke Winkelman, Sloane; Chaney, Elizabeth H.; Bethel, Jeffrey W. ","Research shows that one in four migrant farmworkers experienced an episode of one or more mental health disorders such as stress, depression, or anxiety in their lifetime. The purpose of this mixed methods study was to explore experiences and perceptions related to stress and depression among Latino migrant and seasonal farmworkers (MSFWs), and to identify their coping behaviors for dealing with these mental health conditions. Using a mixed methods research approach, three focus group interviews of a sample of Latino MSFWs (N = 29) were conducted and a quantitative survey was implemented (N = 57) at community sites in eastern North Carolina. Four major themes emerged from the focus group data: (1) physical stress related to working conditions; (2) mental stress related to family situations, work environment, documentation status, and lack of resources; (3) depression related to separation from family and the lack of resources; and (4) use of positive and negative mechanisms for coping with stress and depression. A discussion of these themes, results from the survey findings, implications for intervention and outreach programs, along with recommendations for further research, are provided. © 2013 by the authors; licensee MDPI, Basel, Switzerland.",2013,/,International Journal of Environmental Research and Public Health,10,5,1815-1830,,http://dx.doi.org/10.3390/ijerph10051815,368887266,#18,BurkeWinkelman 2013,Exclusion reason: Wrong intervention; ,""
The Role of Children's Education for the Mental Health of Aging Migrants in Europe,"Sabater, Albert; Graham, Elspeth ","In this study, using SHARE data we examined whether the education of adult children is associated with depressive symptoms (EURO-D caseness) for older immigrants and nonimmigrants in Europe. After controlling for possible confounders, we found that the education of adult children has independent effects on the mental health of their parents, and that having children with upper secondary or tertiary levels of education significantly lessen the odds of immigrants experiencing depressive symptoms. Furthermore, regular contact between parents and their adult children exerts a positive influence as well as amplifying the relationship between children's education and mental health. Taken together, the results demonstrate that, were it not for family social capital, older immigrants might experience much worse mental health outcomes.Copyright © 2016 Hogrefe.",2016,/,GeroPsych: The Journal of Gerontopsychology and Geriatric Psychiatry,29,2,81-92,,http://dx.doi.org/10.1024/1662-9647/a000145,611567124,#47,Sabater 2016,Exclusion reason: Wrong outcomes; ,""
"Violence, Place, and Strengthened Space: A Review of Immigration Stress, Violence Exposure, and Intervention for Immigrant Latinx Youth and Families","Jolie, Sarah A.; Onyeka, Ogechi Cynthia; Diclemente, Cara; Richards, Maryse; Santiago, Catherine DeCarlo; Torres, Stephanie ","Latinx immigrant families are greatly impacted by US policies and practices that limit immigrant families and children's rights. This article reviews the effects of such policies and the growing literature examining migration experiences. Latinx immigrant youth and parents may encounter multiple stressors across the stages of migration, including physical and structural violence, fear, poverty, and discrimination, which contribute to higher rates of mental health problems in this population. Despite significant trauma exposure, immigrants demonstrate incredible resilience within themselves, their families, and their communities and through movements and policies aimed at protecting their rights. Numerous culturally relevant universal, targeted, and intensive interventions were developed to magnify these protective factors to promote healing, advance immigration reform, and provide trauma-informed training and psychoeducation. Psychologistsplay a crucial role in implementing, evaluating, and advocating for accessible and collaborative approaches to care so that Latinx immigrant families have the resources to combat the harmful sequelae of immigration stress.Copyright © 2021 Annual Reviews Inc.. All rights reserved.",2021,/,Annual Review of Clinical Psychology,17,"(Jolie, Onyeka, Diclemente, Richards, Santiago) Department of Psychology, Loyola University Chicago, Chicago, IL 60660, United States(Torres) Department of Educational Psychology, College of Education, University of Illinois at Chicago, Chicago, IL 60607,",127-151,,http://dx.doi.org/10.1146/annurev-clinpsy-081219-100217,634996980,#54,Jolie 2021,Exclusion reason: Wrong outcomes; ,""
Severe mentally ill patients: Our global migrants Neuroethical issues in psychiatry and pharmacology today. A brief manifesto toward the World Symposium 2020,"Carrara, Alberto ",,2021,/,CNS Spectrums,26,4,310-311,,http://dx.doi.org/10.1017/S1092852920000048,631343555,#56,Carrara 2021,Exclusion reason: Wrong intervention; ,""
Implementing a Parent Education Intervention in Colombia: Assessing Parent Outcomes and Perceptions Across Delivery Modes,"Magana, Sandra; Tejero Hughes, Marie; Salkas, Kristen; Gonzales, Wendy; Morales, Miguel; Garcia Torres, Mariana; Nunez, Giselle; Moreno-Angarita, Marisol ","Knowledge and identification of autism spectrum disorder (ASD) are increasing in Latin America, yet there are limited resources available to help families of children with ASD. For this study, researchers adapted and tested a parent educational program created for Latino immigrant parents of children with ASD in the United States to the needs of parents of children with ASD in Colombia. Parents were randomized into two intervention delivery modes, one led by parents and the other by students. All measures were self-reported by parents (n = 20). Parents improved in understanding their child's strengths and needs and frequency of using evidence-based strategies. Parents in the student-led group reported significantly lower depressive symptoms between baseline and follow-up. In focus groups, parents expressed satisfaction with the intervention and described ways they were using the information. This study demonstrated promising results to improve the experience of parents of children with ASD in Colombia.Copyright © Hammill Institute on Disabilities 2021.",2021,/,Focus on Autism and Other Developmental Disabilities,36,3,165-175,,http://dx.doi.org/10.1177/1088357620986947,2010407495,#57,Magana 2021,Exclusion reason: Wrong intervention; ,""
Refugee Mental Health - An Urgent Call for Research and Action,"Saadi, Altaf; Al-Rousan, Tala; Alheresh, Rawan ",,2021,/,JAMA Network Open,4,3,e212543,,http://dx.doi.org/10.1001/jamanetworkopen.2021.2543,634497296,#88,Saadi 2021,Exclusion reason: Wrong intervention; ,""
